estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
GA;Wayne County, GA;652;942;1417;1491;1519;1349;1204;1035;836;766;1121
GA;Webster County, GA;56;68;119;134;122;105;96;87;91;85;96
GA;Wheeler County, GA;152;207;282;293;291;261;239;231;184;156;230
GA;White County, GA;462;695;1210;1313;1308;1174;1020;861;713;666;942
GA;Whitfield County, GA;2141;3508;5628;5661;5616;4868;4283;3511;2904;2741;4086526;2403
IL;Peoria County, IL;4474;5610;10768;10088;8865;8048;9061;6993;6121;6078;7611
IL;Perry County, IL;824;910;1128;1061;963;981;1005;749;628;617;887
IL;Piatt County, IL;342;439;711;713;621;593;603;471;418;424;534
IL;Pike County, IL;397;492;682;721;632;587;581;443;390;385;531
IL;Pope County, IL;137;160;197;199;181;162;167;144;121;123;159
IL;Pulaski County, IL;208;266;316;306;279;268;277;220;183;185;251
IL;Putnam County, IL;186;224;449;399;328;293;309;234;186;174;278
IL;Randolph County, IL;814;1003;1405;1325;1225;1226;1212;933;769;731;1064
IL;Richland County, IL;365;485;732;713;640;604;619;464;434;449;551
IL;Rock Island County, IL;3603;4330;7172;7269;6485;6056;6146;5106;4582;4522;5527
IL;St Clair County, IL;7612;9351;13519;13695;12960;12467;12625;9874;8236;7721;10806
IL;Saline County, IL;810;1005;1254;1184;1105;1057;1202;878;794;859;1015
IL;Sangamon County, IL;4787;5989;8040;8422;8104;7791;7716;6126;5423;5168;6757
IL;Schuyler County, IL;178;220;284;317;301;283;286;230;201;192;249
IL;Scott County, IL;142;161;211;249;230;231;229;171;147;143;191
IL;Shelby County, IL;538;721;1097;1093;999;919;906;684;597;597;815
IL;Stark County, IL;152;188;294;287;254;237;272;208;182;201;228
IL;Stephenson County, IL;1293;1712;2859;2739;2373;2124;2153;1630;1409;1258;1955
IL;Tazewell County, IL;3097;3841;7709;7102;5929;5332;6007;4538;4145;4219;5192
IL;Union County, IL;574;710;908;951;896;824;835;637;559;556;745
IL;Vermilion County, IL;2318;2883;4284;4337;3717;3421;3833;2978;2481;2528;3278
IL;Wabash County, IL;350;441;628;576;522;464;431;331;314;362;442
IL;Warren County, IL;410;515;689;722;664;634;654;509;443;456;570
IL;Washington County, IL;388;495;653;616;571;580;559;428;351;365;501
IL;Wayne County, IL;396;523;811;757;663;621;616;503;511;622;602
IL;White County, IL;409;496;662;641;587;550;547;414;395;452;515
IL;Whiteside County, IL;1629;2035;3149;3083;2807;2594;2583;1971;1748;1668;2327
IL;Will County, IL;17292;22166;37910;39456;37674;34825;35303;27184;22004;21849;29566
IL;Williamson County, IL;2326;2439;3205;3168;2932;2756;2853;2230;1956;1985;2585
IL;Winnebago County, IL;8867;12439;21810;21080;17479;15366;15124;11694;9868;9400;14313
IL;Woodford County, IL;736;920;1751;1571;1336;1239;1435;1084;984;1057;1211
IN;Indiana;146645;190269;329004;329584;290046;264286;244406;192016;157534;147087;229088
IN;Adams County, IN;682;1187;2207;1654;1263;1119;966;751;645;609;1108
IN;Allen County, IN;8606;10817;18671;18829;16337;14553;13092;10028;8189;7686;12681
IN;Bartholomew County, IN;1388;1835;3683;3660;3043;2646;2487;1862;1573;1502;2368
IN;Benton County, IN;191;231;427;430;367;339;316;242;205;194;294
IN;Blackford County, IN;378;495;901;840;691;625;538;389;316;287;546
IN;Boone County, IN;965;1232;2190;2232;2003;1839;1773;1409;1235;1166;1604
IN;Brown County, IN;334;430;739;785;684;586;544;439;355;303;520
IN;Carroll County, IN;403;597;1062;1015;843;734;697;515;434;429;673
IN;Cass County, IN;915;1180;2248;2041;1714;1532;1363;1018;815;839;1367
IN;Clark County, IN;2392;2989;4881;5274;4944;4334;3890;3103;2646;2505;3696
IN;Clay County, IN;746;911;1463;1468;1349;1263;1124;838;655;586;1040
IN;Clinton County, IN;756;923;1824;1714;1444;1329;1166;850;680;667;1135
IN;Crawford County, IN;318;405;639;636;577;509;485;374;296;282;452
IN;Daviess County, IN;463;582;877;957;909;890;841;677;594;567;736
IN;Dearborn County, IN;1315;1537;2563;2772;2441;2224;2133;1646;1292;1204;1913
IN;Decatur County, IN;558;795;1566;1504;1273;1102;929;695;581;517;952
IN;DeKalb County, IN;1134;1499;2780;2457;1987;1717;1499;1105;895;874;1595
IN;Delaware County, IN;2917;3713;5905;6322;5547;5143;4672;3737;3097;2863;4392
IN;Dubois County, IN;680;858;1646;1642;1332;1231;1150;894;767;730;1093
IN;Elkhart County, IN;4645;8395;16210;12599;10254;8653;7171;5177;4066;3768;8094
IN;Fayette County, IN;756;1145;1493;1428;1195;1021;933;707;590;538;981
IN;Floyd County, IN;1574;1956;3244;3353;3014;2689;2442;1975;1707;1680;2363
IN;Fountain County, IN;363;461;1066;1015;828;717;818;572;477;462;678
IN;Franklin County, IN;650;783;1217;1307;1127;1005;935;708;577;498;881
IN;Fulton County, IN;501;674;1273;1175;942;845;817;611;471;464;777
IN;Gibson County, IN;765;874;1463;1354;1267;1191;1056;825;717;701;1021
IN;Grant County, IN;1949;2460;3882;3887;3470;3147;2934;2233;1759;1599;2732
IN;Greene County, IN;810;987;1361;1534;1470;1444;1408;1098;944;903;1196
IN;Hamilton County, IN;4123;5529;9570;9703;8609;8021;7855;6534;5650;5495;7109
IN;Hancock County, IN;1348;1753;3080;3318;2950;2622;2394;1890;1576;1456;2239
IN;Harrison County, IN;872;1157;1794;1871;1678;1433;1306;1061;889;837;1290
IN;Hendricks County, IN;2370;3186;5617;5866;5305;4866;4557;3701;3169;2965;4160
IN;Henry County, IN;1300;1588;2887;2965;2450;2125;1886;1458;1151;1029;1884
IN;Howard County, IN;2065;2891;5260;4506;3762;3258;2966;2310;1845;1780;3064
IN;Huntington County, IN;949;1347;2528;2265;1880;1637;1429;1072;815;761;1468
IN;Jackson County, IN;856;1161;2366;2153;1797;1529;1355;1061;867;816;1396
IN;Jasper County, IN;736;918;1596;1685;1460;1296;1235;1074;950;882;1183
IN;Jay County, IN;504;681;1281;1133;945;799;777;584;497;452;765
IN;Jefferson County, IN;838;1018;1801;1755;1483;1291;1206;911;742;718;1176
IN;Jennings County, IN;701;987;1853;1722;1537;1351;1199;873;675;636;1153
IN;Johnson County, IN;2558;3513;6164;6315;5583;5052;4600;3748;3161;2897;4359
IN;Knox County, IN;790;1016;1469;1514;1375;1336;1255;981;871;835;1144
IN;Kosciusko County, IN;1813;2752;5116;4327;3482;2982;2619;1966;1652;1544;2825
IN;LaGrange County, IN;832;1430;2703;1996;1498;1209;1041;811;691;659;1287
IN;Lake County, IN;11692;14167;24068;24734;21966;20873;20860;18152;15634;14696;18684
IN;LaPorte County, IN;2662;3283;6237;6178;5238;4848;4563;3724;3042;2875;4265
